代数, 变异数, 最优个体时间
1070,5,67977.0
1071,6,67977.0
1072,6,67977.0
1073,4,67977.0
1074,6,67977.0
1075,3,67977.0
1076,2,67977.0
1077,5,67977.0
1078,2,67977.0
1079,4,67977.0
1080,2,67977.0
1081,3,67977.0
1082,1,67977.0
1083,7,67977.0
1084,5,67977.0
1085,6,67977.0
1086,3,67977.0
1087,3,67977.0
1088,2,67977.0
1089,5,67977.0
1090,5,67977.0
1091,9,67977.0
1092,7,67977.0
1093,2,67977.0
1094,2,67977.0
1095,5,67977.0
1096,4,67977.0
1097,6,67977.0
1098,1,67977.0
1099,6,67977.0
1100,5,67977.0
1101,6,67977.0
1102,1,67977.0
1103,5,67977.0
1104,3,67977.0
1105,1,67977.0
1106,5,67977.0
1107,4,67977.0
1108,7,67977.0
1109,5,67977.0
1110,2,67977.0
1111,1,67977.0
1112,3,67977.0
1113,5,67977.0
1114,7,67977.0
1115,5,67977.0
1116,5,67977.0
1117,6,67977.0
1118,2,67977.0
1119,1,67977.0
1120,1,67977.0
1121,3,67977.0
1122,2,67977.0
1123,5,67977.0
1124,1,67977.0
1125,4,67977.0
1126,3,67977.0
1127,5,67977.0
1128,5,67977.0
1129,2,67977.0
1130,6,67977.0
1131,6,67977.0
1132,6,67977.0
1133,7,67925.0
1134,4,67925.0
1135,5,67925.0
1136,4,67925.0
1137,1,67925.0
1138,5,67925.0
1139,4,67925.0
1140,4,67925.0
1141,4,67925.0
1142,1,67925.0
1143,5,67925.0
1144,2,67925.0
1145,1,67925.0
1146,5,67925.0
1147,7,67925.0
1148,1,67925.0
1149,1,67925.0
1150,3,67925.0
1151,7,67925.0
1152,6,67925.0
1153,4,67925.0
1154,2,67925.0
1155,5,67925.0
1156,5,67925.0
1157,1,67925.0
1158,4,67925.0
1159,3,67925.0
1160,8,67925.0
1161,7,67925.0
1162,8,67925.0
1163,5,67925.0
1164,4,67925.0
1165,1,67925.0
1166,6,67925.0
1167,5,67925.0
1168,6,67925.0
1169,2,67925.0
1170,4,67925.0
1171,2,67925.0
1172,5,67925.0
1173,3,67925.0
1174,6,67925.0
1175,4,67925.0
1176,2,67925.0
1177,3,67925.0
1178,5,67925.0
1179,6,67925.0
1180,1,67925.0
1181,5,67925.0
1182,2,67925.0
1183,4,67925.0
1184,6,67925.0
1185,5,67925.0
1186,1,67925.0
1187,8,67925.0
1188,4,67925.0
1189,1,67925.0
1190,6,67925.0
1191,5,67925.0
1192,3,67925.0
1193,6,67925.0
1194,5,67925.0
1195,5,67925.0
1196,1,67925.0
1197,5,67925.0
1198,2,67925.0
1199,8,67925.0
1200,5,67925.0
1201,5,67925.0
1202,5,67925.0
1203,3,67925.0
1204,2,67925.0
1205,1,67925.0
1206,2,67925.0
1207,2,67925.0
1208,6,67925.0
1209,5,67925.0
1210,7,67925.0
1211,5,67925.0
1212,6,67925.0
1213,4,67925.0
1214,4,67925.0
1215,7,67925.0
1216,6,67925.0
1217,6,67925.0
1218,5,67925.0
1219,5,67925.0
1220,1,67925.0
1221,2,67925.0
1222,7,67925.0
1223,5,67925.0
1224,5,67925.0
1225,6,67925.0
1226,4,67925.0
1227,4,67925.0
1228,6,67925.0
1229,5,67925.0
1230,3,67925.0
1231,5,67925.0
1232,2,67925.0
1233,7,67925.0
1234,2,67925.0
1235,5,67925.0
1236,3,67925.0
1237,5,67925.0
1238,3,67925.0
1239,5,67925.0
1240,5,67901.0
1241,4,67901.0
1242,3,67901.0
1243,3,67901.0
1244,4,67901.0
1245,7,67901.0
1246,2,67901.0
1247,3,67901.0
1248,7,67901.0
1249,7,67901.0
1250,3,67901.0
1251,4,67901.0
1252,2,67901.0
1253,7,67901.0
1254,1,67901.0
1255,4,67901.0
1256,2,67901.0
1257,6,67901.0
1258,7,67901.0
1259,1,67901.0
1260,6,67901.0
1261,4,67901.0
1262,3,67901.0
1263,7,67901.0
1264,6,67901.0
1265,5,67901.0
1266,1,67901.0
1267,4,67901.0
1268,2,67901.0
1269,8,67901.0
1270,7,67901.0
1271,7,67901.0
1272,5,67901.0
1273,1,67901.0
1274,3,67901.0
1275,3,67901.0
1276,6,67901.0
1277,5,67901.0
1278,5,67901.0
1279,3,67901.0
1280,6,67901.0
1281,2,67901.0
1282,5,67901.0
1283,3,67901.0
1284,4,67901.0
1285,5,67901.0
1286,5,67901.0
1287,3,67901.0
1288,1,67901.0
1289,3,67901.0
1290,2,67901.0
1291,6,67901.0
1292,5,67901.0
1293,5,67901.0
1294,1,67901.0
1295,4,67901.0
1296,3,67901.0
1297,5,67901.0
1298,1,67901.0
1299,4,67901.0
1300,5,67901.0
1301,2,67901.0
1302,4,67901.0
1303,6,67901.0
1304,2,67901.0
1305,7,67901.0
1306,5,67901.0
1307,2,67901.0
1308,1,67901.0
1309,3,67901.0
1310,2,67901.0
1311,2,67901.0
1312,5,67901.0
1313,6,67901.0
1314,2,67901.0
1315,9,67901.0
1316,2,67901.0
1317,2,67901.0
1318,3,67901.0
1319,3,67901.0
1320,1,67901.0
1321,5,67901.0
1322,4,67901.0
1323,6,67901.0
1324,3,67901.0
1325,2,67901.0
1326,1,67901.0
1327,6,67901.0
1328,3,67901.0
1329,1,67901.0
1330,6,67901.0
1331,3,67901.0
1332,5,67901.0
1333,4,67901.0
1334,5,67901.0
1335,4,67901.0
1336,5,67901.0
1337,6,67901.0
1338,2,67901.0
1339,3,67901.0
1340,5,67901.0
1341,2,67901.0
1342,6,67901.0
1343,2,67901.0
1344,2,67901.0
1345,6,67901.0
1346,5,67901.0
1347,2,67901.0
1348,1,67901.0
1349,8,67901.0
1350,5,67901.0
1351,6,67901.0
1352,6,67901.0
1353,5,67901.0
1354,5,67901.0
1355,5,67901.0
1356,6,67901.0
1357,5,67901.0
1358,4,67901.0
1359,6,67901.0
1360,2,67901.0
1361,5,67901.0
1362,7,67901.0
1363,6,67901.0
1364,3,67901.0
1365,6,67901.0
1366,5,67901.0
1367,5,67901.0
1368,5,67901.0
1369,5,67901.0
1370,8,67901.0
1371,7,67901.0
1372,5,67901.0
1373,3,67901.0
1374,6,67901.0
1375,2,67901.0
1376,5,67901.0
1377,4,67901.0
1378,7,67901.0
1379,4,67901.0
1380,8,67901.0
1381,3,67901.0
1382,4,67901.0
1383,3,67901.0
1384,3,67901.0
1385,1,67901.0
1386,6,67901.0
1387,7,67901.0
1388,5,67901.0
1389,2,67901.0
1390,1,67901.0
1391,6,67901.0
1392,1,67901.0
1393,7,67901.0
1394,4,67901.0
1395,4,67901.0
1396,3,67901.0
1397,3,67901.0
1398,1,67901.0
1399,2,67901.0
1400,5,67901.0
1401,2,67901.0
1402,5,67901.0
1403,4,67901.0
1404,3,67901.0
1405,3,67901.0
1406,3,67901.0
1407,4,67901.0
1408,4,67901.0
1409,1,67901.0
1410,8,67901.0
1411,4,67901.0
1412,2,67901.0
1413,4,67901.0
1414,4,67901.0
1415,7,67901.0
1416,3,67901.0
1417,4,67901.0
1418,7,67901.0
1419,3,67901.0
1420,5,67901.0
1421,2,67901.0
1422,7,67901.0
1423,1,67901.0
1424,3,67901.0
1425,3,67901.0
1426,6,67901.0
1427,4,67901.0
1428,7,67901.0
1429,6,67901.0
1430,5,67901.0
1431,4,67901.0
1432,4,67901.0
1433,4,67901.0
1434,4,67901.0
1435,5,67901.0
1436,1,67901.0
1437,6,67901.0
1438,5,67901.0
1439,1,67901.0
1440,6,67901.0
1441,7,67901.0
1442,1,67901.0
1443,4,67901.0
1444,1,67901.0
1445,5,67901.0
1446,3,67901.0
1447,2,67901.0
1448,3,67901.0
1449,7,67901.0
1450,5,67901.0
1451,3,67901.0
1452,4,67901.0
1453,4,67901.0
1454,5,67901.0
1455,4,67901.0
1456,1,67901.0
1457,2,67901.0
1458,1,67901.0
1459,5,67901.0
1460,3,67901.0
1461,5,67901.0
1462,4,67901.0
1463,5,67901.0
1464,1,67901.0
1465,3,67901.0
1466,6,67901.0
1467,8,67901.0
1468,5,67901.0
1469,4,67901.0
1470,6,67901.0
1471,2,67901.0
1472,7,67901.0
1473,4,67901.0
1474,4,67901.0
1475,7,67901.0
1476,1,67901.0
1477,5,67759.0
1478,4,67759.0
1479,2,67759.0
1480,6,67759.0
1481,7,67759.0
1482,7,67759.0
1483,6,67759.0
1484,3,67759.0
1485,2,67759.0
1486,4,67759.0
1487,4,67759.0
1488,4,67759.0
1489,6,67759.0
1490,1,67759.0
